id,question,answer
856,What Catholic Church liturgical belief did Lortie criticize openly?,the doctrine of transubstantiation
857,What war in Ireland featured Huguenot regiments?,Williamite war
858,Under which leader did the Huguenots fight in this conflict?,William of Orange
859,Which Irish cities had large Huguenot enclaves?,"Dublin, Cork, Portarlington, Lisburn, Waterford and Youghal"
860,Huguenots in Killeshandra and County Cavan expanded what agricultural industry?,flax cultivation
861,What textile industry did the Huguenots contribute to in Ireland?,Irish linen industry
862,Which noble helped establish the Huguenot settlement in Saarland?,Prince Louis de Condé
863,Which Count did the Prince strike an arrangement with?,Count Ludwig von Nassau-Saarbrücken
864,What industry did the nobleman establish with this settlement?,glass-making
865,In what era did some members of this community emigrate to the US?,1890s
866,In what year was the agreement to allow the Saarland settlement reached?,1604
867,What two member nations of the Holy Roman Empire received Huguenot refugees?,Electorate of Brandenburg and Electorate of the Palatinate
868,What general religious belief did the nations that received Huguenot refugees have in common?,Protestant
869,What area in South Africa accepted Huguenot colonists?,Dutch Cape Colony
870,What area in modern-day Canada received Huguenot immigrants?,Quebec
871,What made emigration to these colonies attractive?,they were accepted and allowed to worship freely
872,From what French King did the Huguenot name possibly descend?,Hugues Capet
873,"What is the theory that this King's name is the origin of ""Huguenot"" called?","The ""Hugues hypothesis"""
874,Who is one prominent advocate of this theory?,Janet Gray
875,"According to the theory, what does the name ""Huguenot"" mean?","little Hugos, or those who want Hugo"
876,Other theories of the word's origin can be generally classed as what?,double or triple non-French linguistic origins
877,Who was one French pro-reform Roman Catholic of the 15th century? ,Jacques Lefevre
878,Where did this pro-reform leader teach?,University of Paris
879,When did this leader publish a French language Bible?,1530
880,What leader of the Swiss reformation was a student of Lefevre?,William Farel
881,What other European Protestant leader was educated at the University of Paris?,Jean Cauvin (John Calvin)
882,When was the St. Bartholomew's Day Massacre?,24 August – 3 October 1572
883,What group killed thousands of Huguenots?,Catholics
884,How many Huguenots were killed in Toulouse?,"Nearly 3,000"
885,When was amnesty granted to those responsible for the massacre?,1573
886,Reports document that how many Parisien Protestants were killed by September 17?,"almost 25,000"
887,Who became king in 1643?,Louis XIV
888,How did the new king react to the Huguenots?,acted increasingly aggressively to force the Huguenots to convert
889,What was the king's first approach to the Huguenots?,"he sent missionaries, backed by a fund to financially reward converts"
890,What did the king do to regarding Huguenot education?,closed Huguenot schools
891,The practice of occupying and looting Huguenot homes was called?,dragonnades
892,What present day county is New Rochelle in?,Westchester
893,Where did the Huguenots land in New York originally?,"""Bauffet's Point"""
894,From whom did the Huguenots purchase the land where they settled?,"John Pell, Lord of Pelham Manor"
895,What French City was New Rochelle named after?,La Rochelle
896,"What is the name of the third, permanent Huguenot church in New Rochelle?",Trinity-St. Paul's Episcopal Church
897,How did Huguenots evolve their religious beliefs in the New World?,affiliated with other Protestant denominations
898,How were Huguenot settlers assimilated into North American society at large?,married outside their immediate French communities
899,Who was one prominent Huguenot-descended arms manufacturer?,E.I. du Pont
900,For how long did Huguenots continue to use French names?,into the nineteenth century
901,What was the name of du Pont's gunpowder operation?,Eleutherian gunpowder mills
902,Who was a prominent Huguenot in Holland?,Pierre Bayle
903,Where did he begin teaching?,Rotterdam
904,What books did Bayle publish?,Historical and Critical Dictionary
905,These books became a foundational text for what library?,US Library of Congress
906,Who is the patron saint of the Huguenots?,Saint Nicolas
907,What early Huguenot Church was established in England?,The French Protestant Church of London
908,When was the charter for this church signed?,1550
909,What is the present-day location of this church?,Soho Square
910,What London neighborhood attracted Huguenot refugees?,Shoreditch
911,When was the Old Truman Brewery founded?,1724
912,What protestant religions made Northern European counties safe for Huguenot immigration?,Lutheran and Reformed
913,Which areas of Northern Europe practiced those religions?,Germany and Scandinavia
914,What proclamation gave Huguenots special privileges in Brandenburg?,Edict of Potsdam
915,What dual titles did Frederick William hold?,Elector of Brandenburg and Duke of Prussia
916,What military impact did Huguenot immigration have on Frederick's army?,Huguenots furnished two new regiments
917,What German ruler invited Huguenot immigration?,Frederick William
918,What German poet was descended from Huguenots?,Theodor Fontane
919,What German general and fighter pilot was of Huguenot ancestry?,Adolf Galland
920,Who was the final Prime Minister of East Germany?,Lothar de Maizière
921,Thomas de Maiziere serves what role in the German cabinet?,Federal Minister of the Interior
922,"Along with geothermal and nuclear, what is a notable non-combustion heat source?",solar
923,What ideal thermodynamic cycle analyzes the process by which steam engines work?,Rankine
924,"In the Rankine cycle, what does water turn into when heated?",steam
925,At what pressure is water heated in the Rankine cycle?,high
926,What types of engines are steam engines?,external combustion
927,What was the first true engine that was commercially successful?,atmospheric engine
928,Who was the inventor of the atmospheric engine?,Thomas Newcomen
929,About what year was the atmospheric engine invented?,1712
930,What was invented by Savery?,steam pump
931,Who conceptualized the piston?,Papin
932,In what country was a full-scale working railway steam locomotive first invented?,United Kingdom
933,On what date did the first railway trip in the world occur?,21 February 1804
934,Where did the world's first railway journey terminate?,Abercynon
935,In what constituent country of the United Kingdom is Merthyr Tydfil located?,Wales
936,In what geographical portion of Wales is Abercynon located?,south
937,What device is used to recycle the boiler water in most steam engines?,water pump
938,What types of pumps are typically used in industrial boilers?,multi-stage centrifugal
939,In what decade were injectors widely used in steam engines?,1850s
940,What is a notable application of injectors today?,steam locomotives
941,What are injectors used to supply?,lower-pressure boiler feed water
942,How many expansion stages are used by the triple expansion engine?,three
943,What are engines using four expansion stages known as?,quadruple expansion engines
944,In what century was the Yarrow-Schlick-Tweedy balancing system used?,19th
945,What sort of engines utilized the Yarrow-Schlick-Tweedy balancing system?,marine triple expansion
946,What class of ships is an example of large passenger liners?,Olympic
947,"Along with poppet valve gears, what type of gears utilized separate admission and exhaust valves to give ideal events?",Corliss
948,"Along with Stephenson and Walschaerts, what is an example of a simple motion?",Joy
949,How is lap provided by overlapping the admission side port?,lengthening rubbing surfaces of the valve
950,What are sometimes present in the boiler's firebox crown?,Lead fusible plugs
951,What happens to the lead fusible plugs if the water level of the boiler drops?,melts
952,What happens after the lead melts?,steam escapes
953,"After the operators are warned by the escape of the steam, what may they then do?",manually suppress the fire
954,What is the escape of the steam unlikely to accomplish in all but the smallest boilers?,dampening the fire
955,Who patented a steam engine in 1781?,James Watt
956,What sort of motion did Watt's steam engine continuously produce?,rotary
957,How many horsepower was Watt's engine?,ten
958,As of what year were 10000 horsepower engines available?,1883
959,What was the steam engine an important component of?,Industrial Revolution
960,In what century did the history of the steam engine begin?,first
961,Who conceptualized the aeolipile?,Hero of Alexandria
962,What was Hero of Alexandria's nationality?,Greek
963,Who described a steam turbine in 1629?,Giovanni Branca
964,In what year did Jerónimo de Ayanz y Beaumont patent a water pump for draining mines?,1606
965,What type of engines became widespread around the end of the 19th century?,compound
966,What are the stages in a compound engine called?,expansions
967,In what field were double and triple expansion engines common?,shipping
968,What product was notably shipped in vessels equipped with double and triple expansion engines?,coal
969,"Along with electric motors, what power sources overtook steam engines in the 20th century?",internal combustion engines
970,The use of what device represented the last major evolution of the steam engine?,steam turbines
971,In what part of the 19th century were steam turbines introduced?,late
972,Above what horsepower are steam turbines usually more efficient than steam engines that use reciprocating pistons?,several hundred
973,What percentage of electrical power in the United States is made by steam turbines?,90
974,Most power of what sort is generated by steam turbines today?,electric
975,What is the usual source of heat for boiling water in the steam engine?,burning combustible materials
976,"Aside from firebox, what is another name for the space in which combustible material is burned in the engine?",combustion chamber
977,"Along with nuclear, geothermal and internal combustion engine waste heat, what sort of energy might supply the heat for a steam engine?",solar
978,What type of heating element is often used in toy steam engines?,electric
979,What instrument is used to examine steam engine performance?,steam engine indicator
980,What year saw the earliest recorded use of the steam engine indicator?,1851
981,What company developed the most successful steam engine indicator?,Charles Porter
982,Who developed a successful steam engine indicator for Charles Porter?,Charles Richard
983,Where was the Charles Porter steam engine indicator shown?,London Exhibition
984,At what degree are the pistons of a two-cylinder compound connected to the cranks?,90
985,"In a 4-cylinder compound engine, what degree were the individual pistons balanced at?",180
986,At what angle were the groups of pistons set in relation to one another in a 4-cylinder compound?,90
987,What is a term for the reversing of steam flow in a piston engine after each stroke?,counterflow
988,How many piston strokes occur in an engine cycle?,two
989,How many crank rotations are there in an engine cycle?,one
990,How many events occur in an engine cycle?,four
991,"Along with admission, exhaust and compression, what is an event in the engine cycle?",expansion
992,What is the name of a uniflow engine that takes in steam in hot areas and exhausts it in cold?,Quasiturbine
993,The uniflow engine is an attempt to fix an issue that arises in what cycle?,counterflow
994,What part is added to the uniflow engine to resolve the issue in the counterflow cycle?,port
995,What type of steam engine doesn't need valves to direct steam?,oscillating cylinder
996,What is another term for the pivot mounting?,trunnion
997,"Along with toys, where are oscillating cylinder steam engines typically used?",models
998,Full size working engines on what vehicles sometimes use oscillating cylinder steam engines?,ships
999,What happens to the working fluid in a closed loop system?,recycled continuously
1000,What sort of system releases the exhaust steam into the atmosphere?,open loop
1001,What working fluid is used in a mercury vapor turbine?,Mercury
1002,What is the typical working fluid in a steam engine?,water
1003,What limits the Rankine cycle's efficiency?,working fluid
1004,"What is the turbine entry temperature of a steam turbine, in degrees Celsius?",565
1005,What is  565 °C the creep limit of?,stainless steel
1006,What is the approximate condenser temperature in a turbine?,30 °C
1007,What is a turbine's theoretical Carnot efficiency?,63%
1008,What devices have been credited as the moving force of the Industrial Revolution?,Steam engines
1009,"Along with road vehicles, locomotives and ships, on what vehicles were steam engines used during the Industrial Revolution?",steamboats
1010,What is an example of a steam-powered automobile?,Stanley Steamer
1011,"Along with mills and mines, in what industrial locations did steam drive machines?",factories
1012,What did the use of steam engines in farming lead to?,increase in the land available for cultivation
1013,What was the name of the locomotive that debuted in 1808?,Catch Me Who Can
1014,Who designed Salamanca?,Matthew Murray
1015,What type of locomotive was Salamanca?,twin-cylinder
1016,On what railroad was Salamanca used?,Middleton Railway
1017,For what railroad did Stephenson build a locomotive in 1825?,Stockton and Darlington
1018,Who patented a high-pressure compound engine in 1805?,Arthur Woolf
1019,What nationality was Arthur Woolf?,British
1020,What is decreased by staging expansion across multiple cylinders?,torque variability
1021,What needs to be larger to get the same work out of lower pressure steam?,cylinder volume
1022,What percentage of electricity was made by steam turbine in the 1990s?,90
1023,What marine engines were less efficient than steam turbines?,reciprocating steam engines
1024,"Along with diesel engines, what engines have overtaken steam engines for marine propulsion?",gas turbines
1025,What engines were used throughout most of the 20th century to propel ships?,steam turbines
1026,What gearing was used on steam turbine marine engines in the 20th century?,reduction
1027,What is the steam engine's thermodynamic basis?,Rankine cycle
1028,What happens to waste heat in the Rankine cycle?,removed in a condenser
1029,In what decade did the Rankine cycle create 90% of electric power?,1990s
1030,"Along with solar, coal and nuclear, what sort of plants notable use the Rankine process?",biomass
1031,What is William Rankine's nationality?,Scottish
1032,How was the efficiency of a steam engine typically evaluated?,duty
1033,Who invented the notion of a steam engine's duty?,Watt
1034,What is the weight of a bushel of coal in pounds?,94
1035,What was the ideal duty of a Newcomen engine?,7 million
1036,What was the average duty of a low-pressure Watt engine?,17
1037,What type of engines became popular for power generation after piston steam engines?,steam turbines
1038,What type of steam engines produced most power up to the early 20th century?,Reciprocating piston
1039,What type of steam engine produces most electricity in the world today?,turbine
1040,"Along with electric motors, what type of engines superseded piston steam engines?",internal combustion
1041,Who developed the first commercial steam powered device?,Thomas Savery
1042,What was the first steam powered device used commercially?,water pump
1043,In what year was the first commercial steam powered device invented?,1698
1044,Who notably improved the Savery water pump?,Bento de Moura Portugal
1045,Who wrote of the Savery water pump in 1751's Philosophical Transactions?,John Smeaton
1046,Who invented a high-pressure steam engine around 1800?,Richard Trevithick
1047,Who created an engine using high pressure steam in 1801?,Oliver Evans
1048,In what year did Richard Trevithick patent his device?,1802
1049,High pressure steam engines were small enough that they could be used in what application?,transport
1050,What were steam engines used as a source of?,power
1051,What modern company has been notably working on a steam engine using modern materials?,Energiprojekt AB
1052,Where is Energiprojekt AB based?,Sweden
1053,How many cylinders does the Energiprojekt AB engine have?,5
1054,How many pounds of steam per kilowatt hour does the Energiprojekt AB engine use?,8.8
1055,What percentage of a high pressure engine's efficiency has the Energiprojekt AB engine achieved?,27-30
1056,What do power station steam turbines use as a cold sink in the absence of CHP?,surface condensers
1057,What device is a dry cooling tower similar to?,automobile radiator
1058,In what sort of places are dry cooling towers used?,where water is costly
1059,An evaporative cooling tower is also referred to as what kind of cooling tower?,wet
1060,About how many cubic meters of make-up water is used by a 700-megawatt coal-fired power plant for evaporative cooling hourly?,3600
1061,What did Watt add to the steam engine in 1788?,centrifugal governor
1062,What was the name of Watt's partner?,Boulton
1063,Where was the centrifugal governor first observed by Boulton?,flour mill
1064,What is an examine of work that a centrifugal governor-equipped steam engine wasn't suitable for?,cotton spinning
1065,What was the centrifugal governor incapable of doing?,hold a set speed
1066,After what year was compounding frequently used in marine engines?,1880
1067,Compounding was not popular in the construction of what machines?,railway locomotives
1068,What was compounding seen as being in the locomotive construction industry?,complicated
1069,After what year did compounding cease to be used in Britain?,1930
1070,"Along with marine engines and industrial units, in what machines was compounding popular?",road engines
1071,What is another term for shortening the admission event?,shortening the cutoff
1072,What is another term for excessive compression?,kick back
1073,What can the exhaust steam not fully do when the exhaust event is insufficiently long?,evacuate the cylinder
1074,Of what length are engine cycle events when the simplest valve gears are used?,fixed
1075,Who received the first steam engine patent?,Jerónimo de Ayanz y Beaumont
1076,What was the nationality of Jerónimo de Ayanz y Beaumont?,Spanish
1077,In what year did Jerónimo de Ayanz y Beaumont receive a steam engine patent?,1606
1078,In what year did Savery patent his steam pump?,1698
1079,In what year did Newcomen's engine pump in a mine?,1712
1080,What is another term for rotors?,rotating discs
1081,"In a steam turbine, what are rotors mounted on?",drive shaft
1082,What is another way of referring to stators?,static discs
1083,What are stators attached to?,turbine casing
1084,"In the United States, what is a usual turbine speed with 60 Hertz of power?",3600 revolutions per minute
1085,What is the power-to-weight ratio of a steam plant compared to that of an internal combustion engine?,lower
1086,"Along with internal combustion engines, what machines have superseded steam in some areas?",electric motors
1087,What plants create most electric power?,steam turbine
1088,What is the name of the movement that seeks renewed use of steam power in the modern era?,Advanced Steam
1089,"Along with fuel sources, what concern has contributed to the development of the Advanced Steam movement?",pollution
1090,What is an example of a rotary engine without pistons?,Wankel
1091,What parts of a conventional reciprocating steam engine could be replaced by a pistonless rotary engine?,cylinders and valve gear
1092,"Along with wear, what development makes it difficult to seal the rotors in an engine that lacks pistons?",thermal expansion
1093,When did Watt finish the development of his improvements to Newcomen's engine?,1775
1094,What did Watt add to Newcomen's engine between 1763 and 1775?,condenser
1095,"Compared to Smeaton's improvement on Newcomen's engine, how much coal did Watt's engine use?",half
1096,"In addition to Watt, Boulton and Smeaton, whose engine was an atmosphere design?",Newcomen's
1097,"In an atmospheric engine, what does air pressure push against?",piston
1098,How many mechanisms does a typical steam engine have to keep boiler pressure from getting too high?,two
1099,What is restrained with a lever in the top of a boiler?,plug valve
1100,What type of valve is used by recent safety valves?,adjustable spring-loaded
1101,"In an adjustable spring-loaded valve, what needs to be broken to allow an operator to tamper with it?",seal
1102,"Along with a desire for more steam pressure, what were early drivers looking to generate when they fastened safety valves down?",more power
1103,What was the ultimate development of the horizontal engine?,Corliss steam engine
1104,In what year was the Corliss engine patented?,1849
1105,How many valves did the Corliss engine use?,four
1106,What award was given to Corliss?,Rumford medal
1107,How much less steam did the Corliss engine use compared to the Watt engine?,30%
1108,What scientific field's theory has received contributions from the steam engine?,thermodynamic
1109,Who made experimental measurements on a model steam engine?,Watt
1110,What was developed from Watt's measurements on a model steam engine?,condenser
1111,Who confirmed Watt's discovery of latent heat?,Joseph Black
1112,"What concept, originally discovered by Black, was later discovered independently by Watt?",latent heat
1113,What is a main advantage of the Rankine cycle?,during the compression stage relatively little work is required to drive the pump
1114,"During the compression stage of the Rankine cycle, what state is the working fluid in?",liquid
1115,How much turbine power is consumed by the pump while the work fluid is condensed?,1% to 3%
1116,What is the approximate turbine entry temperature of a gas turbine?,1500 °C
1117,What is an example of a pump component?,injector
1118,"In addition to recirculating water, what do condensers do?",recover the latent heat of vaporisation
1119,What components raise steam temperature above its saturated vapor point?,superheaters
1120,What is another name for a coal supply bin?,bunker
1121,What mechanism moves coal from a bunker to the firebox?,stoking
1122,The frequent availability of what substance allowed land-based steam engines to exhaust a great deal of steam?,feed water
1123,People of what nationality invented the steam turbine?,British
1124,What was an example of a type of warship that required high speed?,dreadnought battleships
1125,"Other than warships, what ships typically required high speeds?",ocean liners
1126,In what year was HMS Dreadnought launched?,1905
1127,What do nuclear power plants heat to create electricity?,water
1128,What does the steam generated by a nuclear power plant drive?,turbine
1129,"In a nuclear power plant, what is the steam turbine connected to?",electrical generator
1130,What is it called when steam propels a turbo generator with electric motor propulsion?,turbo-electric transmission
1131,Where were non-condensing direct-drive locomotives notably used for fast passenger trains?,Britain
1132,What is the Rankine cycle sometimes called?,practical Carnot cycle
1133,Where does heat rejection occur in the Rankine cycle?,in the condenser
1134,What does isobaric mean?,constant pressure
1135,What is a term that means constant temperature?,isothermal
1136,"In the Rankine cycle, in what state is the working fluid received in the condenser?",liquid
1137,The atomic number of the periodic table for oxygen?,8
1138,What is the second most abundant element?,helium
1139,Which gas makes up 20.8% of the Earth's atmosphere?,Diatomic oxygen
1140,How many atoms combine to form dioxygen?,two atoms
1141,"Roughly, how much oxygen makes up the Earth crust?",almost half
1142,What is the atomic number of the element oxygen?,8
1143,Of what group in the periodic table is oxygen a member?,chalcogen
1144,What type of compounds does oxygen most commonly form?,oxides
1145,"Compared to other elements, how abundant does oxygen rank?",third
1146,"Under normal conditions, what do two atoms of oxygen form?",dioxygen
1147,Oxygen is released in cellular respiration by?,photosynthesis
1148,Photosynthesis uses which energy to for oxygen from water?,sunlight
1149,_____ Helps the biospher from UV.,high-altitude ozone layer
1150,What element is found in most organic organisms?,oxygen
1151,In what major portion of living things is oxygen found?,water
1152,What life process produces oxygen in the presence of light?,photosynthesis
1153,From what does photosynthesis get oxygen?,water
1154,What form of oxygen is composed of three oxygen atoms?,ozone
1155,Who proved that air is necessary for combustion?,Robert Boyle
1156,What English chemist showed that fire only needed nitoaereus?,John Mayow
1157,What is consumed in both combustion and respiration?,nitroaereus
1158,John Mayow died in what year?,1679
1159,What researcher showed that air is a necessity for combustion?,Robert Boyle
1160,What did John Mayow  name the part of air that caused combustion?,nitroaereus
1161,In what century did Mayow and Boyle perform their experiments?,17th century
1162,"Besides combustion, for what other action did Mayow show nitroaereus responsible?",respiration
1163,What chemist showed that fire needed only a part of air?,John Mayow
1164,"""An Account of Further Discoveries in Air"" was published by who in 1775?",Joseph Priestley
1165,What was the occupation of Joseph Priestley?,clergyman
1166,"By sunlight, what compound did  Priestley concentrate on to make the gas he called ""dephlogisticated air""?",mercuric oxide (HgO)
1167,The symbol for mercuric oxide is?,HgO
1168,What chemical did Priestley use in his experiments on oxygen?,mercuric oxide
1169,What did Priestley name the gas his experiment produced?,dephlogisticated air
1170,In what year did Priestley publish the findings of his experiments?,1775
1171,Why is Priestley usually given credit for being first to discover oxygen?,published his findings first
1172,What effect did breathing Priestley's discovered gas have on the experiment's mouse?,active
1173,What inventor built on to the findings of Philo of  Byzantium?,Leonardo da Vinci
1174,Pneumatica was written by what Greek writer?,Philo of Byzantium
1175,In what year was the first known experiments on combustion and air conducted?,2nd century BCE
1176,Philo of Byzantium ____ surmised that air converted to fire,incorrectly
1177,What early Greek wrote about experiments on air and combustion?,Philo of Byzantium
1178,What did Philo incorrectly assume that the air became?,fire
1179,What was the title of Philo's work?,Pneumatica
1180,What famous artist later further investigated Philo's experiments?,Leonardo da Vinci
1181,Of what did da Vinci think a part  was consumed during combustion?,air
1182,What is needed to make combustion happen?,heat or a spark
1183,Combustion is caused by an oxidant and a fuel. What role does oxygen play in combustion?,Oxygen is the oxidant
1184,"Peroxides, nitrates and dichromates are examples of what type of compounds?",compounds of oxygen with a high oxidative
1185,Although not a fuel  ___ is the chemical compound the generates the most occurrence of explosions.,Oxygen
1186,What can concentrated oxygen produce?,rapid combustion
1187,What is a spark or heat to the progress of a fire?,ignition event
1188,"Rather than the fuel, what is oxygen to a fire?",oxidant
1189,What does oxygen the basis for in combustion?,chemical energy
1190,What other sources of high oxidative potential can add to a fire?,compounds of oxygen
1191,______ In both liquid and gas form can fastly result in an exlposion.,oxygen
1192,To ensure safety of future space missions Oxygen was used at _____ of the normal pressure.,1⁄3
1193,To reduce the chances of combustion ___ is required for safely handeling pure O.,special training
1194,What will concentrated oxygen greatly speed up?,combustion
1195,"Because of the danger inherent in concentrated oxygen, what is a concern about keeping it?",storage vessels
1196,What does the transport and storage demand for safety in dealing with oxygen?,special training
1197,Who did a pressurized oxygen cabin fire kill?,Apollo 1 crew
1198,Silicates of magnesium and iron make up of the Earth's ___,mantle
1199,Granite is made up largely of what chemical compound?,oxides of silicon
1200,Oxygen exists in the atmosphere by way of what?,carbon dioxide
1201,In what compound is oxygen found in small amounts in the atmosphere?,carbon dioxide
1202,What geologic feature is composed of oxygen oxides?,Earth's crustal rock
1203,What part of the Earth is composed of mostly of silicates of iron and magnesium?,Earth's mantle
1204,What part of the Earth's geological structure is larger than the crust?,mantle
1205,"Aside from oxides, what other compounds comprise a large portion of the Earth's crust?",complex silicates
1206,What did John Dalton think that all elements were in number present in compounds?,monatomic
1207,What did Dalton think the atomic ratios were between atoms in compounds?,simplest
1208,What was Dalton's erroneous formula for water?,HO
1209,What element did Gay-Lussac and von Humboldt discover was present in twice the amount of oxygen in water?,hydrogen
1210,What theory was arrived at in 1811 that presented the assumption of diatomic molecules?,Avogadro's law
1211,Of what were materials that left little residue thought to contain?,phlogiston
1212,What type of combustible materials were considered to have little philogiston?,non-combustible
1213,What distinct quality of combustion was  absent from philogiston theory? ,Air
1214,What material's weight gain during rusting was an early clue that philogiston theory was wrong?,metals
1215,What characteristic due most items display after burning?,become lighter
1216,How is dioxygen most simply described?,covalent double bond
1217,What is the bond order of dioxygen molecules?,two
1218,What is a descriptive term for a low-to-high energy bond?,Aufbau
1219,In dioxygen how are the two oxygen atoms bonded together?,chemically
1220,Of what does the covalent double bond result from ?,molecular orbitals
1221,When did Carl Wilhelm Scheele discover oxygen?,1773
1222,In what year did Joseph Priestley recognize oxygen?,1774
1223,What gave Priestley the claim to being the first discovered of oxygen?,work was published first
1224,What researcher first used the word oxygen ?,Antoine Lavoisier
1225,What previous work did Lavoisier experiments discredit?,phlogiston theory
1226,What is the term for the arrangement of two unpaired electrons in dioxygen?,spin triplet state
1227,How is the O2 molecule referred to in its ground state? ,triplet oxygen
1228,What causes triplet oxygen to react slowly?,unpaired electrons
1229,What type of combustion does the slow reaction of triplet oxygen prevent?,spontaneous
1230,What are the weakly filled higher orbitals of oxygen?,antibonding
1231,What did Lavoisier conclude was consumed by combustion in his experiments?,air
1232,In what way did Lavoisier see that the tin he used in his experiment had increased?,weight
1233,What did Lavoisier perceive the air had lost as much as the tin had gained,weight
1234,In what year did Lavoisier publish his work on combustion?,1777
1235,What second part of air was deemed lifeless by Lavoisier?,azote
1236,What is the name for O3 most often used?,ozone
1237,Of what is ozone a reactive part of oxygen?,allotrope
1238,What  does ozone's characteristic to cause damage effect?,lung tissue
1239,What function does ozone perform for the planet?,protective radiation shield
1240,What light radiation does ozone absorb?,UV
1241,What is the most common form of oxygen on the planet?,dioxygen
1242,What is the scientific designation of oxygen? ,O2
1243,What part the composition of the Earth's atmosphere is comprised of oxygen?,major
1244,What characteristic of oxygen makes it necessary to life?,energy content
1245,For what purpose is oxygen used by animal life?,cellular respiration
1246,What chemist managed to make enough liquid oxygen to use for study?,James Dewar
1247,In what year did Dewar experiment on liquid oxygen?,1891
1248,When was liquid oxygen developed for commercial use?,1895
1249,What welding process was demonstrated in 1901?,oxyacetylene
1250,What component of water is more soluble than nitrogen?,Oxygen
1251,Upon what chemical characteristic is oxygen's solubility dependent?,temperature
1252,How much oxygen is found is a liter of fresh water under normal conditions?,6.04 milliliters
1253,In what type of water does oxygen dissolve more slowly?,seawater
1254,How much more oxygen dissolves at 0 degrees C than at 20 degrees C?,twice
1255,Where does oxygen rank by mass in the planet's biosphere?,most abundant
1256,How is oxygen ranked as abundant in the universe?,third
1257,How much of the sun is made up of oxygen?,0.9%
1258,Where  by mass is oxygen a major part?,world's oceans
1259,How is oxygen produced from carbon dioxide on the other planets of the solar system?,ultraviolet radiation
1260,By what century did researchers see that they could liquefy air?,late 19th
1261,By what means were scientists able to liquefy air?,compressing and cooling
1262,What scientist told the French Academy of Sciences that he had found how to liquefy oxygen?,Raoul Pierre Pictet
1263,What minor amount of liquid oxygen was produced by early French experimenters?,few drops
1264,On what date was oxygen liquefied in a stable form?,"March 29, 1883"
1265,What celestial object eluded efforts to measure oxygen?,Sun
1266,What molecule does the Sun have in higher proportion than Earth?,oxygen-16
1267,What spacecraft contained data to determine the oxygen content of the Sun?,Genesis spacecraft
1268,What type of process was involved the the depletion of the Sun's oxygen 16?,unknown
1269,"Before the formation of which planet, did Sol lose oxygen 16?",Earth
1270,What is the name for a form of oxygen in which electrons are paired?,Singlet
1271,To what is singlet oxygen more reactive?,organic molecules
1272,In what process is singlet oxygen usually formed?,photosynthesis
1273,By what process is singlet oxygen made in the tropophere?,photolysis of ozone
1274,What objects in organisms absorb singlet oxygen to prevent harm?,Carotenoids
1275,What group of scientists seek to measure the amounts of oxygen in marine animals?,Paleoclimatologists
1276,About what weather feature do paleoclimatologists want information ?,climate
1277,How much heavier is oxygen 18 than oxygen 16?,12%
1278,What form of oxygen do marine animals acquire in greater amounts during cooler climatic conditions?,oxygen-18
1279,During what type of climate is oxygen 18 in seawater at higher levels?,lower global temperatures
1280,At what wavelength do the spectrophotometric bands peak?,687 and 760 nm
1281,To monitor what event would measuring radiance from vegetation provide information?,carbon cycle
1282,From where would scientists like measure vegetation radiance?,satellite platform
1283,On what scale would scientists show measurements of vegetation?,global
1284,What style of sensing do scientist like to use to measure global radiance?,remote sensing
1285,What magnetic character do triplet O2 have?,paramagnetic
1286,"In experiments, a bridge of what element can be built between poles of a magnet?",Liquid oxygen
1287,The spin of what can produce a magnetic effect to oxygen molecules?,unpaired electrons
1288,What kind of field is necessary to produce a magnet effect in oxygen molecules?,magnetic field
1289,What device is used to test the magnetic attractions involved in liquid oxygen?,powerful magnet
1290,What do the reactive forms of oxygen produce in organisms?,dangerous by-products
1291,For what purpose do organisms make peroxide and superoxide?,destroy invading microbes
1292,Against what does reactive oxygen play in plant defense?,pathogen attack
1293,To what type of organisms is oxygen toxic?,anaerobic
1294,When did O2 begin to acculturate in the atmosphere?,2.5 billion years ago
1295,At what temperature will oxygen condense?,90.20 K
1296,What is the clarity of liquid oxygen?,clear
1297,What substance is used to make high quality liquid O2?,liquefied air
1298,What element is used as a coolant in the process of making liquid oxygen?,liquid nitrogen
1299,From what type of materials must liquid oxygen be separated?,combustible materials
1300,Where on Earth is free oxygen found?,water
1301,At what temperatures is O2 more soluble?,lower
1302,Why do polar water bodies support a higher amount of life?,higher oxygen content
1303,What measurement do scientists used to determine the quality of water?,biochemical oxygen demand
1304,Pollution of water by nitrates and phosphates will encourage the growth of what?,algae
1305,When did photosynthetic organisms evolve on Earth?,3.5 billion years ago
1306,During which eon did free oxygen begin appearing in quantity?,Paleoproterozoic
1307,"At first, what did oxygen and iron combine to form?",banded iron formations
1308,How long ago did oxygen reach 10% of its present level?,1.7 billion years ago
1309,When did oxygen begin to move from the oceans to the atmosphere?,3–2.7 billion years ago
1310,What produces the high levels of oxygen on Earth?,oxygen cycle
1311,What type of process is the oxygen cycle?,biogeochemical
1312,In how many places is oxygen stored in its cycle?,three
1313,What process is responsible for the planet's oxygen content?,photosynthesis
1314,What does photosynthesis release into the Earth's atmosphere?,oxygen
1315,What mechanism can be used to make oxygen?,zeolite molecular sieves
1316,What percentage of oxygen will a zeolite sieve produce?,90% to 93%
1317,"While producing oxygen, what gas does a zeolite sieve absorb?",nitrogen
1318,What type of technology is the non organic separating of gases?,non-cryogenic
